id,name,city,score,number_of_products
2958,پی اس امیر,تهران,5,3
2959,کالا پیج,تهران,5,11
2960,آیسا مارکت,تهران,5,2
2961,شهرکالا,تهران,5,1
2962,پیویو,مشهد,5,2
2963,نبض بان,پیرانشهر,5,1
2964,گارانتی آرتل,تهران,5,3
2965,آوین پایدار ایرانیان,تهران,5,3
2966,دیجی استیشن,تهران,5,1
2967,آی تک استور,ابرکوه,5,1
2968,شاهین پلاس,تبریز,5,3
2969,فامیلتو,شیراز,5,11
2970,نیومان,کرج,5,1
2971,رز بهار,خدابنده,5,6
2972,نوآتل,بندرعباس,5,5
2973,دیجی استور,دزفول,5,3
2974,فیبونا,شیراز,5,1
2975,موبایل سفیر,گرگان,5,1
2976,رپید مال,شیراز,5,1
2977,بانه بروز,بانه,5,4
2978,ناب ترین,مشهد,5,1
2979,ارشاک,تهران,5,1
2980,نمایندگی شیائومی مکعب,مشهد,5,0
2981,نازیلو,بوئین زهرا,5,2
2982,شیائومی پروداکت,زنجان,5,3
2983,رایان تجارت نابغه,تهران,5,2
2984,تک یک,مشهد,5,2
2985,آریا موبایل,تهران,5,2
2986,لايف ديجيت,اهرم,5,1
2987,الو آیفون,تهران,5,2
2988,بازار آنلاین ایران,اردبیل,5,3
2989,آرکا آنلاین,تهران,5,4
2990,سپید بنیان,شیراز,5,1
2991,تکرایان,تهران,5,4
2992,اوتانا مارکت,شیراز,5,1
2993,مدرن کده,بابل,5,1
2994,آف پخش,فریمان,5,3
2995,گلکسی پیکسل,تهران,5,1
2996,خریددی,شهرضا,5,1
2997,فیژن,کرمان,5,1
2998,سیب کالا,تهران,5,1
2999,سون مارکت,تهران,5,1
3000,رکسوشاپ,نجف آباد,5,1
3001,ایزی مارکت,تهران,5,1
3002,کالاگردون,تهران,5,6
3003,های‌موبو,تهران,5,3
3004,شیراز مارکت,شیراز,5,4
3005,گمبو,رشت,5,2
3006,آس و نو,اصفهان,5,1
3007,وینسلو,تهران,4,14
3008,اس وی اس کالا,تهران,5,1
3009,مانتراسل,تهران,5,2
3010,کالا وان,رشت,5,1
3011,تل وی آی پی,اراک,5,3
3012,قشم,قشم,5,2
3013,قطعات موبایل سفیر,تهران,5,8
3014,مودرا,تهران,5,2
3015,مهندسین پیشگام,تهران,5,3
